"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,2587.5,2700,2800,2600,2750,2850,2825,2900,2725,2895,3200,3097.5,3000,3097.5,3060,2850,3000,2800,2900,2900,2950,2940,3195,3200,3300,3325,3195,3165.5,3250,3299,3200,3250,3150,2950,3200,3300,3385,3450,3492.5,3402.5,3350,3350,3350,3380,3362.5,3400,3350,3375,3445,3400,3400,3400,3385,3400,3400,3400,3390,3397.5,3450,3500,3500,3500,3500,3500,3500,3450,3500,3500,3400,3400,3405,3445,3500,3500,3490,3490,3400,3362.5,3495,3400,3422.5,3400,3400,3422.5,3375,3405,3440,3397.5,3400,3400,3350,3385,3400,3400,3395,3402.5,3380,3400,3450,3400,3400
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1762.5,1750,1800,1885,1900,1995,1950,2000,1925,2000,1997,1987.5,1897.5,1900,1875,1900,1925,2100,2025,2100,2000,1985,1950,1950,1925,1950,1897.5,1950,1875,1900,2095,2000,1925,1745,1800,1750,1850,1850,1900,1900,2000,2100,2100,2100,2000,1850,1800,1799.5,1750,1750,1750,1895,1800,1900,1995,2050,1950,1800,1800,1837.5,1750,1800,1750
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,3420,3250,3575,3850,3975,3949.5,4392.5,4550,4430,3800,3750,3500,3400,3295,3254,3295,3450,3560,3555,3595,3405,3400,3500,3350,3350,3480,3599.5,3500,3500,3510,3500,3425,3400,3400,3395,3400,3300,3300,3399,3400,3351,3500,3500,3500,3587.5,3600,3600,3698.5,3750,3696,3897,3700,3790,3795,3850,3792.5,3700,3792.5,3700,3750,3750,3750,3750,3800,3795,3800,3800,3795,3800,3810,3800,3800,3700,3700,3700,3600,3550,3498,3500,3500,3587.5,3650,3650,3600,3700,3750,3745,3790,3600,3600,3500,3697,3695,3695,3500,3500,3500,3500,3500,3600,3600,3650,3790,3750,3700,3700,3600
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,2000,2100,1900,1850,1900,2100,2100,2000,2100,2073.5,2100,2100,2200,2250,2100,2250,2300,2190,2180,2200,2250,2200,2200,2295,2250,2200,2300,2300,2200,2200,2200,2180,2100,2100,2100,2200,2100,2150,2100,2000,2200,2100,1900,2000,1950,2000,2000,2000,2000,2000,2100,2100,2200,2260,2200,2200,2125,2100,2100,2125,2150,2100,2100,2000,2000,2000,2065,2098,2000,2050
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,1800,1800,1800,1587.5,1800,1950,2200,2225,2400,2100,2000,1785,1750,1925,1900,1900,1895,1975,1995,2000,2000,1950,2000,2000,2052,2100,2100,2100,2100,2050,2100,1995,1850,1800,1769,1750,1700,1787.5,1800,1750,1742.5,1800,2100,2100,2100,2150,2200,2200,2200,2000,2200,2300,2200,2255,2200,2200,2250,2300,2291,2225,2100,2100,2300,2197.5,2195,2175,2175,2100,2052.5,2185,2295,2200,2100,2250,2200,2300,2199,2180,1950,1990,2000,2100,2055,2200,2250,2300,2300,2400,2400,2300,2200,2200,2224.5,2200,2200,2100,1997.5,1950,2075,2000,2100,2200,2000,2050,2040,2050,1995
"79936","El Paso","TX","El Paso","El Paso County",6,,,,,,,,,,,,,,,1100,1100,1050,1050,1000,1012.5,1055,1060,1000,1050,1050,1095,1085,1000,1100,1100,1050,1047.5,1000,997,975,975,975,990,995,995,992.5,995,995,995,995,975,995,975,987.5,995,995,1000,1000,995,995,995,995,1000,995,995,995,1000,1050,1037.5,1050,1050,1050,1050,1050,1000,1000,1000,1000,1050,1050,1000,1050,1000,995,995,1050,975,992.5,1000,1000,1050,1050,1049.5,1050,1075,1050,1000,1000,1000,995,1000,995,1000,1025,1050,1050,1047.5,1000,1000,1050,1050,1050,1030,1000
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",7,,,,,,,,,,,,1275,1200,1200,1250,1200,1200,1200,1195,1200,1200,1195,1200,1200,1200,1250,1250,1295,1250,1250,1250,1262.5,1200,1250,1275,1250,1195,1300,1300,1350,1350,1300,1375,1391.5,1362.5,1395,1350,1350,1300,1300,1327.5,1375,1375,1400,1400,1400,1400,1400,1400,1400,1400,1400,1475,1475,1475,1450,1450,1450,1450,1450,1447.5,1425,1450,1450,1475,1450,1462.5,1485,1450,1402.5,1430,1444,1400,1400,1400,1400,1400,1425,1425,1425,1425,1437.5,1425,1450,1450,1467,1475,1475,1475,1500,1525,1500,1500,1500,1500,1497,1500,1500,1500
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",8,,,,,,,,,,,,,1050,1100,1125,1150,1125,1150,1150,1150,1150,1195,1185,1200,1150,1100,1125,1195,1195,1200,1197.5,1150,983.5,1150,1195,1120,1087,1195,1150,1200,1349.5,1200,1225,1250,1297.5,1300,1300,1300,1300,1300,1324.5,1325,1324.5,1350,1375,1362.5,1350,1395,1350,1350,1375,1395,1400,1400,1445,1450,1400,1400,1400,1400,1400,1395,1400,1425,1412.5,1400,1449,1400,1400,1395,1400,1375,1395,1400,1400,1400,1400,1400,1400,1457.5,1450,1450,1450,1425,1400,1417.5,1450,1450,1475,1485,1475,1475,1499.5,1500,1500,1500,1495,1500,1484.5
"10002","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,2675,2997.5,2750,2750,2700,3172.5,3395,3300,2800,3000,2695,2837.5,2750,2695,2750,2795,2750,2650,2695,2800,2800,2850,2850,2800,2850,2800,2800,2850,2987.5,3050,2977.5,2850,3000,2900,3000,2997.5,3000,3100,3050,3100,3125,3200,3300,3197.5,3300,3300,3300,3160,3150,3100,2997.5,3197.5,3195,3300,3125,3125,3000,3050,3125,3150,3150,3050,3000,3100,3000,3100,2900,2937.5,2900,2950,3050,3300,3195,3197.5,3250,3240,3240,3050,2800,3050,3000,3000,3000,3100,3195,3125,3250,3195,3125,3200,3199,3112.5,3112.5,3125,3050,3112.5
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",10,,,,,,,,,,,,1400,1325,1250,1250,1130,1107.5,1150,1195,1227.5,1212.5,1300,1295,1295,1300,1275,1295,1200,1200,1250,1275,1202.5,1195,1200,1199,1200,1200,1200,1200,1195,1200,1195,1237.5,1350,1397.5,1400,1397.5,1400,1350,1375,1425,1450,1550,1600,1550,1492.5,1450,1475,1450,1500,1545,1500,1445,1450,1545,1550,1600,1500,1450,1500,1450,1550,1500,1500,1462.5,1480,1497.5,1500,1450,1472.5,1500,1485,1450,1550,1600,1650,1575,1550,1550,1500,1500,1500,1450,1495,1495,1475,1450,1430,1500,1550,1595,1522.5,1475,1450,1425,1450,1450,1381,1450
